,GiaTien,Hang,DongXe,NamSanXuat,SoKmDaDi,TinhTrang,HopSo,NhienLieu,XuatXu,KieuDang,SoCho,DiaDiem
9761,548000000.0,Nissan,Navara,2018,14600,Cũ,Tự động,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
9764,529000000.0,Ford,Ranger,2017,71000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hồ Chí Minh
9766,89000000.0,Mazda,626,1994,12345,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Gia Lai
9767,566000000.0,Mazda,BT 50,2018,26000,Cũ,Tự động,Dầu,Trong nước,Pick-up (bán tải),5,Hồ Chí Minh
9768,610000000.0,Toyota,Fortuner,2013,130000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Đà Nẵng
9769,3220000000.0,Lexus,RX,2016,40000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
9770,450000000.0,Toyota,Fortuner,2009,110000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hà Nội
9771,185000000.0,Kia,Morning,2009,80000,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
9772,580000000.0,Peugeot,408,2015,35000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
9773,519000000.0,Ford,Ranger,2017,21000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hồ Chí Minh
9774,313000000.0,Kia,Carens,2007,91000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),7,Hà Nội
